Referencia,zona,contrato,ascensor,calle,consumo_energia,dormitorios,precio_venta,ciudad,baños,planta/piso,tipo_inmueble,calefaccion,año_construcción,Comunidad Autonoma,Clase_energia,Pais,Fecha_publicación,Superficie
594805,Centro,venta,,C. de José Luis Albareda,,3 dorm.,246000,Zaragoza,1 baño,,Señorial,centralizada (Gas),1971,Aragón,,es,2024-10-19 11:46:46,98.00
599495,Picarral,venta,,Calle Monte  Perdido 4,253 kW h/m&sup2; año,,130000,Zaragoza,1 baño,,Popular,,1974,Aragón,e,es,2024-10-29 07:52:46,67.00
189952,Picarral,venta,,Avenida San Juan de la Peña 131,"269,18 kW h/m&sup2; año",4 dorm.,195000,Zaragoza,,,Popular,Independiente (Radiadores),1973,Aragón,f,es,2021-09-13 19:25:18,80.00
579782,San Pablo - El Gancho,venta,,Calle Benjamín Jarnés,"162,6 kWh/m&sup2; año",2 dorm.,160000,Zaragoza,2 baños,4,Señorial,centralizada,1970,Aragón,e,es,2024-07-01 09:44:49,112.00
597919,Actur,venta,,C. de Rosa Chacel,"293,10 kW h/m&sup2; año",4 dorm.,260000,Zaragoza,2 baños,7 (planta alta),Media,Independiente (Gas),1993,Aragón,e,es,2024-10-28 14:00:47,114.00
585861,Las Fuentes,venta,,Calle Utrillas,446 kWh/m&sup2; año,2 dorm.,77500,Zaragoza,1 baño,4,Popular,,1936,Aragón,g,es,2024-06-25 19:27:39,55.00
599203,Las Fuentes,venta,Sí,Calle Cubel,163 kWh/m&sup2; año,2 dorm.,220000,Zaragoza,1 baño,5 (planta alta),Popular,Independiente (Gas),1993,Aragón,e,es,2024-10-25 18:30:39,76.00
598088,Las Fuentes,venta,Sí,Calle Octavio García Burriel,309 kWh/m&sup2; año,3 dorm.,98000,Zaragoza,1 baño,2 (planta media),Popular,,1961,Aragón,f,es,2024-10-16 11:50:12,60.00
593125,Las Fuentes,venta,,Plaza san victorian,154 kWh/m&sup2; año,3 dorm.,145000,Zaragoza,1 baño,3 (planta media),Popular,,1975,Aragón,e,es,2024-09-03 13:12:30,100.00
597714,Almozara,venta,,Calle Mariano Castillo,"177,1 kWh/m&sup2; año",3 dorm.,147000,Zaragoza,1 baño,Baja,Señorial,Independiente (Gas),1965,Aragón,e,es,2024-10-16 12:00:03,70.00
599211,Paseo Teruel,venta,,Calle Hernán Cortés,,3 dorm.,233500,Zaragoza,,,Media,,1938,Aragón,,es,2024-10-26 11:14:36,85.00
596341,Las Fuentes,venta,Sí,Calle Dr. Iranzo,,4 dorm.,230000,Zaragoza,2 baños,1,Popular,Independiente (Gas),1991,Aragón,,es,2024-10-03 11:08:14,107.00
586526,Cruz Del Señor,venta,,C. Ramón Trujillo Torres,132 kWh/m&sup2; año,2 dorm.,210000,Santa Cruz De Tenerife,2 baños,Baja,Media,,1994,Canarias,g,es,2024-06-19 21:41:27,105.00
599044,Cruz Del Señor,venta,,Alcalde mandillo tejera,52 kWh/m&sup2; año,3 dorm.,175000,Santa Cruz De Tenerife,1 baño,2 (planta media),Señorial,,1974,Canarias,e,es,2024-10-28 14:34:04,97.00
594549,Santa Cruz De Tenerife,venta,,C. Porlier,110 kWh/m&sup2; año,3 dorm.,205000,Santa Cruz De Tenerife,1 baño,Baja,Popular,,1900,Canarias,g,es,2024-10-15 19:44:00,115.00
589656,La Salle,venta,Sí,C. Jorge Manrique,132 kWh/m&sup2; año,3 dorm.,288000,Santa Cruz De Tenerife,2 baños,3 (planta media),Popular,,1971,Canarias,g,es,2024-07-31 17:39:11,97.00
599103,La Salle,venta,,C. Tirso de Molina,132 kW h/m&sup2; año,1 dorm.,174000,Santa Cruz De Tenerife,1 baño,6,Media,,1970,Canarias,g,es,2024-10-25 19:06:03,47.00
